,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Date,Announced,Net%,Report,ticker
0,0.13,0.0,0.08,"19,198k","1,180k",3,2019-12-31,2020-03-31,2020-02-26,153.8%,View,7219
1,0.05,0.0,0.08,"18,545k",492k,2,2019-09-30,2020-03-31,2019-11-27,132.6%,View,7219
2,-0.13,0.0,0.08,"28,165k","-1,221k",1,2019-06-30,2020-03-31,2019-08-28,24.1%,View,7219
3,-1.46,0.0,0.08,"30,775k","-10,643k",4,2019-03-31,2019-03-31,2019-05-31,736.9%,View,7219
4,-0.3,0.0,0.09,"38,595k","-2,192k",3,2018-12-31,2019-03-31,2019-02-27,96.1%,View,7219
5,-0.17,0.0,0.1,"36,649k","-1,509k",2,2018-09-30,2019-03-31,2018-11-28,16.3%,View,7219
6,-0.12,0.0,0.1,"33,561k",-984k,1,2018-06-30,2019-03-31,2018-08-30,41.2%,View,7219
7,0.26,0.0,0.1,"29,365k","1,904k",4,2018-03-31,2018-03-31,2018-05-31,111.1%,View,7219
8,-0.15,0.0,0.09,"32,386k","-1,118k",3,2017-12-31,2018-03-31,2018-02-27,63.7%,View,7219
9,-0.25,0.0,0.09,"32,881k","-1,803k",2,2017-09-30,2018-03-31,2017-11-23,1.2%,View,7219
10,-0.23,0.0,0.1,"27,579k","-1,674k",1,2017-06-30,2018-03-31,2017-08-29,53.6%,View,7219
11,-2.33,0.0,0.1,"22,800k","-16,098k",4,2017-03-31,2017-03-31,2017-05-31,610.4%,View,7219
12,-0.46,0.0,0.127,"22,153k","-3,080k",3,2016-12-31,2017-03-31,2017-02-28,11.3%,View,7219
13,-0.2,0.0,0.126,"23,397k","-1,408k",2,2016-09-30,2017-03-31,2016-11-30,2.6%,View,7219
14,-0.54,0.0,0.127,"23,137k","-3,610k",1,2016-06-30,2017-03-31,2016-08-30,9.9%,View,7219
15,-0.54,0.0,0.13,"24,899k","-2,266k",4,2016-03-31,2016-03-31,2016-05-26,400.1%,View,7219
16,-0.42,0.0,0.137,"24,237k","-2,768k",3,2015-12-31,2016-03-31,2016-02-29,715.1%,View,7219
17,-0.22,0.0,0.141,"31,646k","-1,446k",2,2015-09-30,2016-03-31,2015-11-26,805.4%,View,7219
18,-0.95,0.0,0.229,"29,499k","-4,007k",1,2015-06-30,2016-03-31,2015-08-28,687.2%,View,7219
19,0.11,0.0,0.148,"30,819k",755k,-,2015-03-31,2015-03-31,2015-05-29,0%,View,7219
20,0.07,0.0,0.151,"43,986k",464k,-,2014-12-31,2015-03-31,2015-02-26,104.9%,View,7219
21,0.07,0.0,0.152,"46,510k",205k,-,2014-09-30,2015-03-31,2014-11-20,40.8%,View,7219
22,-0.16,0.0,0.151,"42,431k",-509k,2,2014-06-30,2014-12-31,2014-08-22,223.2%,View,7219
23,-0.03,0.0,0.153,"33,584k",-93k,1,2014-03-31,2014-12-31,2014-05-29,107.9%,View,7219
24,-3.04,0.0,0.153,"47,746k","-9,415k",4,2013-12-31,2013-12-31,2014-02-21,123.1%,View,7219
25,0.11,0.0,0.183,"54,555k",346k,3,2013-09-30,2013-12-31,2013-11-21,139.5%,View,7219
26,0.14,0.0,0.182,"54,105k",413k,2,2013-06-30,2013-12-31,2013-08-23,111.9%,View,7219
27,0.39,0.0,0.178,"45,238k","1,178k",1,2013-03-31,2013-12-31,2013-05-17,283.5%,View,7219
28,-1.22,0.0,0.175,"48,785k","-3,688k",4,2012-12-31,2012-12-31,2013-02-27,467.3%,View,7219
29,-0.29,0.0,0.186,"42,769k",-876k,3,2012-09-30,2012-12-31,2012-11-22,372.9%,View,7219
30,-1.14,0.0,0.189,"39,154k","-3,463k",2,2012-06-30,2012-12-31,2012-08-30,4272.3%,View,7219
31,-0.21,0.0,0.1976,"32,113k",-642k,1,2012-03-31,2012-12-31,2012-05-30,154.8%,View,7219
32,0.2,0.0,0.1993,"31,446k",612k,4,2011-12-31,2011-12-31,2012-02-23,71.1%,View,7219
33,0.11,0.0,0.1975,"31,542k",321k,3,2011-09-30,2011-12-31,2011-11-14,147.8%,View,7219
34,0.03,0.0,0.1964,"31,935k",83k,2,2011-06-30,2011-12-31,2011-08-25,83.7%,View,7219
35,-0.08,0.0,0.1961,"26,590k",-252k,1,2011-03-31,2011-12-31,2011-05-23,194%,View,7219
36,0.7,0.0,0.1969,"33,171k","2,125k",4,2010-12-31,2010-12-31,2011-02-24,366.6%,View,7219
37,-0.22,0.0,0.1898,"28,859k",-671k,3,2010-09-30,2010-12-31,2010-11-18,76.6%,View,7219
38,0.17,0.0,0.1921,"31,951k",510k,2,2010-06-30,2010-12-31,2010-08-17,119.7%,View,7219
39,0.09,0.0,0.1904,"32,415k",268k,1,2010-03-31,2010-12-31,2010-05-26,121.6%,View,7219
40,-0.25,0.0,0.19,"35,754k",-771k,4,2009-12-31,2009-12-31,2010-02-24,88.4%,View,7219
41,-0.95,0.0,0.1902,"35,182k","-2,870k",3,2009-09-30,2009-12-31,2009-11-25,133.1%,View,7219
42,-0.86,0.0,0.2003,"29,212k","-2,590k",2,2009-06-30,2009-12-31,2009-08-26,468.9%,View,7219
43,-0.41,0.0,0.2089,"26,252k","-1,238k",1,2009-03-31,2009-12-31,2009-05-26,156.3%,View,7219
44,-2.19,0.0,0.22,"28,210k","-6,633k",4,2008-12-31,2008-12-31,2009-02-25,8.3%,View,7219
45,-0.41,0.0,0.23,"33,782k","-1,231k",3,2008-09-30,2008-12-31,2008-11-19,240.2%,View,7219
46,0.23,0.0,0.24,"35,759k",702k,2,2008-06-30,2008-12-31,2008-08-25,17%,View,7219
47,0.73,0.0,0.24,"43,135k","2,198k",1,2008-03-31,2008-12-31,2008-04-28,13637.5%,View,7219
48,-2.48,0.0,0.23,"36,211k","-7,230k",4,2007-12-31,2007-12-31,2008-02-28,1625.5%,View,7219
49,1.6,0.0,1.27,"45,213k",878k,3,2007-09-30,2007-12-31,2007-11-21,2%,View,7219
50,1.09,2.0,1.27,"40,547k",600k,2,2007-06-30,2007-12-31,2007-08-28,27.3%,View,7219
51,0.03,2.0,1.25,"31,071k",16k,1,2007-03-31,2007-12-31,2007-05-16,98.6%,View,7219
52,-0.76,0.0,1.26,"28,997k",-419k,4,2006-12-31,2006-12-31,2007-02-27,161.8%,View,7219
53,1.57,0.0,1.27,"30,565k",861k,3,2006-09-30,2006-12-31,2006-11-23,52.2%,View,7219
54,1.5,2.0,1.25,"29,856k",825k,2,2006-06-30,2006-12-31,2006-08-28,33.7%,View,7219
55,2.15,0.0,1.26,"29,153k","1,180k",1,2006-03-31,2006-12-31,2006-05-26,10.3%,View,7219
56,1.23,3.0,1.23,"22,981k",678k,4,2005-12-31,2005-12-31,2006-02-28,0%,View,7219
57,3.4,0.0,1.22,"27,292k","1,802k",3,2005-09-30,2005-12-31,2005-11-23,0%,View,7219
58,2.77,0.0,1.2,"24,020k","1,245k",2,2005-06-30,2005-12-31,2005-08-29,0%,View,7219
59,2.92,0.0,1.17,"19,973k","1,316k",1,2005-03-31,2005-12-31,2005-07-19,0%,View,7219
0,0.77,0.0,0.65,"336,560k","20,260k",1,2020-03-31,2020-12-31,2020-06-18,9.9%,View,7164
1,0.43,0.0,0.67,"457,847k","11,290k",4,2019-12-31,2019-12-31,2020-02-25,101.6%,View,7164
2,0.42,0.0,0.62,"447,882k","10,558k",3,2019-09-30,2019-12-31,2019-11-27,161.9%,View,7164
3,0.31,0.0,0.68,"375,029k","7,504k",2,2019-06-30,2019-12-31,2019-08-29,122.3%,View,7164
4,0.79,0.0,0.65,"363,379k","18,438k",1,2019-03-31,2019-12-31,2019-05-23,200.1%,View,7164
5,-30.08,0.0,0.64,"369,120k","-705,755k",4,2018-12-31,2018-12-31,2019-02-27,1364.3%,View,7164
6,-0.73,0.0,0.97,"350,738k","-17,055k",3,2018-09-30,2018-12-31,2018-11-28,16786.1%,View,7164
7,-1.43,0.0,0.96,"376,753k","-33,644k",2,2018-06-30,2018-12-31,2018-08-30,3589%,View,7164
8,-0.86,0.0,0.98,"337,759k","-18,423k",1,2018-03-31,2018-12-31,2018-05-23,3468%,View,7164
9,-2.15,0.0,1.02,"351,081k","-46,224k",4,2017-12-31,2017-12-31,2018-02-26,86.9%,View,7164
10,0.06,0.0,1.14,"347,522k","1,313k",3,2017-09-30,2017-12-31,2017-11-24,17.4%,View,7164
11,0.02,0.0,1.13,"364,872k",502k,2,2017-06-30,2017-12-31,2017-08-24,92.6%,View,7164
12,0.09,0.0,1.11,"326,775k","1,962k",1,2017-03-31,2017-12-31,2017-05-31,81.8%,View,7164
13,-15.49,0.0,1.12,"411,074k","-330,377k",4,2016-12-31,2016-12-31,2017-02-24,5600.8%,View,7164
14,0.05,0.0,1.24,"410,652k","1,118k",3,2016-09-30,2016-12-31,2016-11-24,52.7%,View,7164
15,0.32,0.0,1.2,"427,984k","6,792k",2,2016-06-30,2016-12-31,2016-08-25,11.2%,View,7164
16,0.51,0.0,1.19,"397,072k","10,787k",1,2016-03-31,2016-12-31,2016-05-26,69.2%,View,7164
17,0.32,0.0,1.26,"457,429k","6,006k",4,2015-12-31,2015-12-31,2016-02-25,1200%,View,7164
18,0.13,0.0,1.38,"458,175k","2,363k",3,2015-09-30,2015-12-31,2015-11-26,85.6%,View,7164
19,0.35,0.0,1.21,"381,301k","6,106k",2,2015-06-30,2015-12-31,2015-08-26,45.1%,View,7164
20,2.17,0.0,1.28,"344,377k","35,052k",1,2015-03-31,2015-12-31,2015-05-21,147.3%,View,7164
21,0.26,0.0,1.32,"451,236k","3,965k",4,2014-12-31,2014-12-31,2015-02-25,47.2%,View,7164
22,1.07,0.0,1.25,"430,682k","16,435k",3,2014-09-30,2014-12-31,2014-11-26,159.9%,View,7164
23,0.74,0.0,1.3,"489,314k","11,118k",2,2014-06-30,2014-12-31,2014-08-27,50.4%,View,7164
24,0.97,0.0,1.38,"493,899k","14,172k",1,2014-03-31,2014-12-31,2014-05-28,537.2%,View,7164
25,0.21,0.0,1.38,"579,948k","3,064k",4,2013-12-31,2013-12-31,2014-03-06,107.5%,View,7164
26,0.49,0.0,1.37,"486,113k","7,136k",3,2013-09-30,2013-12-31,2013-11-28,83.8%,View,7164
27,0.78,0.0,1.27,"429,551k","11,419k",2,2013-06-30,2013-12-31,2013-08-28,66.3%,View,7164
28,0.15,0.0,1.21,"489,614k","2,224k",1,2013-03-31,2013-12-31,2013-05-30,93.7%,View,7164
29,1.69,0.0,1.26,"590,240k","17,591k",4,2012-12-31,2012-12-31,2013-02-26,429.3%,View,7164
30,4.51,0.0,1.62,"609,497k","44,117k",3,2012-09-30,2012-12-31,2012-11-20,137.9%,View,7164
31,3.46,0.0,1.64,"586,698k","33,842k",2,2012-06-30,2012-12-31,2012-08-16,211.8%,View,7164
32,3.58,0.0,1.62,"585,829k","35,052k",1,2012-03-31,2012-12-31,2012-05-22,84.3%,View,7164
33,0.31,0.0,1.61,"579,817k","2,992k",4,2011-12-31,2011-12-31,2012-02-28,60.8%,View,7164
34,-11.88,0.0,1.69,"445,185k","-116,295k",3,2011-09-30,2011-12-31,2011-11-22,307.3%,View,7164
35,1.11,0.0,1.83,"544,300k","10,855k",2,2011-06-30,2011-12-31,2011-08-22,23.3%,View,7164
36,1.94,0.0,1.79,"413,000k","19,017k",1,2011-03-31,2011-12-31,2011-05-26,52.9%,View,7164
37,2.1,3.0,1.73,"384,233k","20,631k",4,2010-12-31,2010-12-31,2011-02-23,64%,View,7164
38,1.42,0.0,0.44,"418,359k","56,094k",3,2010-09-30,2010-12-31,2010-11-24,75.7%,View,7164
39,0.36,0.0,0.41,"383,210k","14,144k",2,2010-06-30,2010-12-31,2010-08-30,80.2%,View,7164
40,1.02,0.0,0.45,"373,301k","40,334k",1,2010-03-31,2010-12-31,2010-05-25,59%,View,7164
41,-0.79,0.0,0.48,"398,609k","-31,046k",4,2009-12-31,2009-12-31,2010-02-25,137.6%,View,7164
42,0.81,0.0,0.49,"458,348k","31,923k",3,2009-09-30,2009-12-31,2009-11-26,69.1%,View,7164
43,1.82,0.0,0.48,"439,257k","71,420k",2,2009-06-30,2009-12-31,2009-08-27,25.8%,View,7164
44,2.51,0.0,0.45,"525,453k","98,449k",1,2009-03-31,2009-12-31,2009-05-28,81.9%,View,7164
45,2.16,1.5,0.46,"851,931k","82,554k",4,2008-12-31,2008-12-31,2009-02-24,59.6%,View,7164
46,2.73,0.0,0.45,"746,204k","103,416k",3,2008-09-30,2008-12-31,2008-11-26,69.5%,View,7164
47,9.07,0.0,1.32,"599,401k","96,291k",2,2008-06-30,2008-12-31,2008-08-26,159.7%,View,7164
48,5.16,0.0,0.57,"331,215k","54,125k",1,2008-03-31,2008-12-31,2008-05-27,41.3%,View,7164
49,5.0,0.0,0.53,"318,767k","51,932k",4,2007-12-31,2007-12-31,2008-02-26,107.6%,View,7164
50,5.89,0.0,0.5,"386,330k","61,005k",3,2007-09-30,2007-12-31,2007-11-22,115.9%,View,7164
51,14.34,0.0,1.8,"262,796k","37,075k",2,2007-06-30,2007-12-31,2007-08-29,37.6%,View,7164
52,14.84,0.0,1.65,"262,223k","38,318k",1,2007-03-31,2007-12-31,2007-05-25,93.5%,View,7164
53,10.65,0.0,1.52,"256,278k","26,077k",4,2006-12-31,2006-12-31,2007-02-26,131.1%,View,7164
54,11.73,0.0,1.43,"251,745k","28,262k",3,2006-09-30,2006-12-31,2006-11-23,155.1%,View,7164
55,39.42,0.0,1.58,"234,893k","58,815k",2,2006-06-30,2006-12-31,2006-08-23,492.7%,View,7164
56,13.21,0.0,1.26,"174,340k","20,766k",1,2006-03-31,2006-12-31,2006-06-08,133.9%,View,7164
57,7.61,0.0,1.05,"97,605k","11,251k",4,2005-12-31,2005-12-31,2006-02-23,273.8%,View,7164
58,7.52,0.0,0.96,"104,904k","11,079k",3,2005-09-30,2005-12-31,2005-11-22,149.6%,View,7164
59,6.74,0.0,0.89,"69,981k","9,923k",2,2005-06-30,2005-12-31,2005-08-22,151.8%,View,7164
60,6.04,0.0,0.84,"71,393k","8,883k",1,2005-03-31,2005-12-31,2005-05-25,188.7%,View,7164
61,2.49,0.0,0.78,"50,079k","3,548k",4,2004-12-31,2004-12-31,2005-02-25,38.7%,View,7164
62,3.14,0.0,0.73,"46,533k","4,438k",3,2004-09-30,2004-12-31,2004-11-23,389.8%,View,7164
63,9.0,5.0,1.9,"40,658k","3,941k",2,2004-06-30,2004-12-31,2004-08-30,82.2%,View,7164
64,7.0,0.0,1.86,"35,221k","3,077k",1,2004-03-31,2004-12-31,2004-05-25,0%,View,7164
65,8.7,0.0,1.79,"35,155k","2,197k",4,2003-12-31,2003-12-31,2004-02-27,0%,View,7164
66,4.65,0.0,1.74,"22,503k",906k,3,2003-09-30,2003-12-31,2003-11-19,0%,View,7164
67,3.35,0.0,1.88,"60,498k",874k,2,2003-06-30,2003-12-31,2003-08-07,0%,View,7164
0,1.49,1.0,0.2106,"74,965k","20,176k",3,2019-12-31,2020-03-31,2020-02-27,124.3%,View,5216
1,1.03,0.75,0.2032,"63,544k","13,864k",2,2019-09-30,2020-03-31,2019-11-29,62.8%,View,5216
2,1.04,0.75,0.2004,"58,316k","14,009k",1,2019-06-30,2020-03-31,2019-08-30,89.5%,View,5216
3,0.86,0.5,0.195,"56,717k","11,627k",4,2019-03-31,2019-03-31,2019-06-03,33.2%,View,5216
4,0.67,1.0,0.1914,"56,755k","8,997k",3,2018-12-31,2019-03-31,2019-02-28,38.6%,View,5216
5,0.63,0.0,0.1897,"57,303k","8,515k",2,2018-09-30,2019-03-31,2018-11-30,57.6%,View,5216
6,0.55,1.0,0.1934,"48,784k","7,394k",1,2018-06-30,2019-03-31,2018-08-24,51.1%,View,5216
7,1.29,1.0,0.1979,"64,641k","17,410k",4,2018-03-31,2018-03-31,2018-05-31,3%,View,5216
8,1.09,1.0,0.1951,"60,294k","14,651k",3,2017-12-31,2018-03-31,2018-02-28,83.9%,View,5216
9,1.49,1.0,0.1942,"73,563k","20,059k",2,2017-09-30,2018-03-31,2017-11-24,25.7%,View,5216
10,1.12,1.0,0.1894,"60,103k","15,124k",1,2017-06-30,2018-03-31,2017-08-25,27.2%,View,5216
11,1.33,1.5,0.1932,"92,616k","17,950k",4,2017-03-31,2017-03-31,2017-05-25,5.2%,View,5216
12,0.59,0.5,0.1849,"73,212k","7,968k",3,2016-12-31,2017-03-31,2017-02-27,58.9%,View,5216
13,1.18,1.0,0.189,"76,445k","15,953k",2,2016-09-30,2017-03-31,2016-11-25,29.1%,View,5216
14,1.54,1.0,0.1872,"76,080k","20,785k",1,2016-06-30,2017-03-31,2016-08-26,68.2%,View,5216
15,1.4,1.0,0.1818,"74,049k","18,939k",4,2016-03-31,2016-03-31,2016-05-27,178.8%,View,5216
16,1.44,1.0,0.1777,"61,622k","19,398k",3,2015-12-31,2016-03-31,2016-02-26,24.5%,View,5216
17,0.92,1.0,0.1734,"51,279k","12,353k",2,2015-09-30,2016-03-31,2015-11-27,31.4%,View,5216
18,0.92,0.0,0.1642,"54,360k","12,359k",1,2015-06-30,2016-03-31,2015-08-28,55.4%,View,5216
19,0.5,1.0,0.1651,"47,909k","6,794k",4,2015-03-31,2015-03-31,2015-05-29,0%,View,5216
20,1.15,0.0,0.16,"60,384k","15,580k",3,2014-12-31,2015-03-31,2015-02-27,0%,View,5216
21,0.7,0.0,0.1485,"53,487k","9,404k",2,2014-09-30,2015-03-31,2014-12-01,0%,View,5216
22,2.05,1.0,0.1515,"71,555k","27,704k",1,2014-06-30,2015-03-31,2014-09-02,0%,View,5216
23,1.84,0.0,0.26,"51,837k","12,428k",-,2014-03-31,2015-03-31,2014-05-30,0%,View,5216
24,3.38,2.0,0.2636,"72,553k","22,816k",4,2013-12-31,2013-12-31,2014-03-03,505.5%,View,5216
25,17.37,0.0,1.15,"69,901k","23,444k",3,2013-09-30,2013-12-31,2013-11-29,188.3%,View,5216
26,22.88,7.5,1.58,"59,014k","20,589k",2,2013-06-30,2013-12-31,2013-08-30,142.3%,View,5216
27,16.72,0.0,1.35,"59,274k","15,050k",1,2013-03-31,2013-12-31,2013-05-31,0%,View,5216
28,4.19,5.0,1.23,"41,965k","3,768k",4,2012-12-31,2012-12-31,2013-02-28,0%,View,5216
29,9.04,0.0,1.19,"53,516k","8,132k",3,2012-09-30,2012-12-31,2012-11-29,0%,View,5216
30,12.2,0.0,0.85,"58,790k","8,497k",2,2012-06-30,2012-12-31,2012-08-28,0%,View,5216
0,2.0,2.0,0.1981,"119,692k","69,283k",-,2019-12-31,2019-12-31,2020-02-27,0%,View,0138
1,1.7,0.0,0.1847,"119,142k","60,426k",-,2019-09-30,2019-12-31,2019-11-28,0%,View,0138
2,1.7,0.0,0.168,"119,133k","58,199k",3,2019-06-30,2019-09-30,2019-08-29,0%,View,0138
3,1.7,0.5,0.1702,"121,738k","58,028k",2,2019-03-31,2019-09-30,2019-05-30,0%,View,0138
4,1.7,0.0,0.1626,"116,233k","58,656k",1,2018-12-31,2019-09-30,2019-02-26,0%,View,0138
5,-2.7,0.0,0.1599,"138,334k","-97,474k",-,2018-09-30,2018-09-30,2018-11-29,0%,View,0138
6,1.6,1.4,0.1848,"107,442k","56,113k",-,2018-06-30,2018-09-30,2018-08-30,0%,View,0138
7,1.6,0.0,0.1886,"111,530k","58,550k",3,2018-03-31,2018-06-30,2018-05-30,8.6%,View,0138
8,1.6,0.5,0.1845,"109,226k","59,047k",2,2017-12-31,2018-06-30,2018-02-27,24%,View,0138
9,1.5,0.0,0.1681,"98,039k","52,782k",1,2017-09-30,2018-06-30,2017-11-29,30.3%,View,0138
10,1.6,1.2,0.1535,"105,113k","59,477k",4,2017-06-30,2017-06-30,2017-08-29,16.7%,View,0138
11,1.5,0.0,0.142,"99,224k","53,902k",3,2017-03-31,2017-06-30,2017-05-30,62.8%,View,0138
12,2.0,0.5,0.2035,"88,664k","47,621k",2,2016-12-31,2017-06-30,2017-02-27,57.1%,View,0138
13,1.7,0.0,0.18,"78,597k","40,511k",1,2016-09-30,2017-06-30,2016-11-29,42.2%,View,0138
14,2.1,1.3,0.1665,"87,259k","51,045k",4,2016-06-30,2016-06-30,2016-08-29,122.4%,View,0138
15,1.4,0.0,0.1502,"70,126k","33,108k",3,2016-03-31,2016-06-30,2016-05-30,73.6%,View,0138
16,2.5,0.5,0.2871,"63,491k","30,316k",2,2015-12-31,2016-06-30,2016-02-29,115.2%,View,0138
17,2.4,0.0,0.2482,"60,741k","28,498k",1,2015-09-30,2016-06-30,2015-11-27,136.7%,View,0138
18,1.9,1.4,0.2279,"45,060k","22,947k",4,2015-06-30,2015-06-30,2015-08-28,38%,View,0138
19,1.6,0.0,0.2139,"38,973k","19,069k",3,2015-03-31,2015-06-30,2015-05-29,38.8%,View,0138
20,2.4,0.5,0.3829,"29,765k","14,086k",2,2014-12-31,2015-06-30,2015-02-27,25.7%,View,0138
21,2.0,0.0,0.3199,"27,720k","12,042k",1,2014-09-30,2015-06-30,2014-11-28,41%,View,0138
22,2.8,2.0,0.2995,"35,369k","16,629k",4,2014-06-30,2014-06-30,2014-08-25,55%,View,0138
23,2.3,0.0,0.2778,"30,634k","13,739k",3,2014-03-31,2014-06-30,2014-05-28,44.5%,View,0138
24,1.9,0.5,0.2651,"23,463k","11,205k",2,2013-12-31,2014-06-30,2014-02-26,38.1%,View,0138
25,1.4,0.0,0.2499,"20,406k","8,541k",1,2013-09-30,2014-06-30,2013-11-29,31.3%,View,0138
26,1.8,1.3,0.2365,"20,813k","10,882k",4,2013-06-30,2013-06-30,2013-08-28,34.9%,View,0138
27,1.6,0.0,0.2266,"20,418k","9,505k",3,2013-03-31,2013-06-30,2013-05-22,32%,View,0138
28,1.4,0.5,0.2211,"19,191k","8,112k",2,2012-12-31,2013-06-30,2013-02-25,21.1%,View,0138
29,1.1,0.0,0.2087,"16,062k","6,504k",1,2012-09-30,2013-06-30,2012-11-28,21%,View,0138
30,1.3,0.9,0.1974,"17,473k","8,053k",4,2012-06-30,2012-06-30,2012-08-30,11.3%,View,0138
31,1.2,0.0,0.1909,"18,340k","7,202k",3,2012-03-31,2012-06-30,2012-05-24,14.6%,View,0138
32,1.1,0.5,0.18,"16,918k","6,700k",2,2011-12-31,2012-06-30,2012-02-29,15.3%,View,0138
33,0.9,0.0,0.1751,"14,192k","5,376k",1,2011-09-30,2012-06-30,2011-11-30,91.9%,View,0138
34,1.3,0.6,0.1676,"17,898k","7,918k",4,2011-06-30,2011-06-30,2011-08-26,35.9%,View,0138
35,1.0,0.5,0.1594,"19,792k","6,283k",3,2011-03-31,2011-06-30,2011-05-26,8%,View,0138
36,1.0,0.0,0.155,"16,969k","5,810k",2,2010-12-31,2011-06-30,2011-02-25,22.4%,View,0138
37,0.5,0.0,0.1452,"15,467k","2,801k",1,2010-09-30,2011-06-30,2010-11-26,37.5%,View,0138
38,1.0,0.0,0.141,"17,098k","5,825k",4,2010-06-30,2010-06-30,2010-08-30,41.3%,View,0138
39,1.0,0.0,0.136,"16,558k","5,818k",3,2010-03-31,2010-06-30,2010-05-27,38.1%,View,0138
40,0.8,0.5,0.126,"14,840k","4,748k",2,2009-12-31,2010-06-30,2010-02-25,1%,View,0138
41,0.7,0.0,0.123,"13,598k","4,480k",1,2009-09-30,2010-06-30,2009-11-25,7.7%,View,0138
42,0.7,0.46,0.116,"13,769k","4,123k",4,2009-06-30,2009-06-30,2009-08-27,0.3%,View,0138
43,0.7,0.46,0.118,"13,221k","4,212k",3,2009-03-31,2009-06-30,2009-05-28,0.6%,View,0138
44,0.8,0.46,11.5,"13,247k","4,702k",2,2008-12-31,2009-06-30,2009-02-26,26.2%,View,0138
45,1.6,0.46,21.2,"12,243k","4,161k",1,2008-09-30,2009-06-30,2008-11-26,51.2%,View,0138
46,1.6,2.0,0.195,"14,307k","4,112k",4,2008-06-30,2008-06-30,2008-08-28,79%,View,0138
47,1.9,0.0,0.179,"13,732k","4,187k",3,2008-03-31,2008-06-30,2008-05-23,85.5%,View,0138
48,2.0,0.0,0.163,"11,553k","3,726k",2,2007-12-31,2008-06-30,2008-02-22,97.4%,View,0138
49,2.2,0.0,0.31,"9,687k","2,752k",1,2007-09-30,2008-06-30,2007-11-29,346%,View,0138
50,2.0,0.0,0.289,"7,404k","2,297k",4,2007-06-30,2007-06-30,2007-08-24,0%,View,0138
51,2.1,0.0,0.27,"7,035k","2,257k",3,2007-03-31,2007-06-30,2007-05-25,0%,View,0138
52,1.9,0.0,0.199,"6,211k","1,888k",2,2006-12-31,2007-06-30,2007-01-18,0%,View,0138
0,-0.36,0.0,0.0641,"2,050k","-2,462k",4,2019-12-31,2019-12-31,2020-02-27,18.4%,View,6254
1,-1.0,0.0,0.0679,"1,644k","-6,790k",3,2019-09-30,2019-12-31,2019-11-26,196.5%,View,6254
2,-0.05,0.0,0.0778,"1,023k",-365k,2,2019-06-30,2019-12-31,2019-08-26,93.7%,View,6254
3,-0.06,0.0,0.08,"1,040k",-437k,1,2019-03-31,2019-12-31,2019-05-27,42.9%,View,6254
4,-0.51,0.0,0.08,"1,001k","-3,218k",4,2018-12-31,2018-12-31,2019-02-27,51.4%,View,6254
5,-0.38,0.0,0.08,"1,463k","-2,290k",3,2018-09-30,2018-12-31,2018-11-26,2213.1%,View,6254
6,-0.77,0.0,0.09,"1,409k","-5,764k",2,2018-06-30,2018-12-31,2018-08-27,1701.3%,View,6254
7,-0.16,0.0,0.1,"1,127k",-765k,1,2018-03-31,2018-12-31,2018-05-30,67.3%,View,6254
8,-0.91,0.0,0.09,"1,402k","-7,383k",4,2017-12-31,2017-12-31,2018-02-28,536.9%,View,6254
9,-0.01,0.0,0.03,"2,514k",-99k,3,2017-09-30,2017-12-31,2017-11-22,103.8%,View,6254
10,-0.04,0.0,0.03,"2,465k",-320k,2,2017-06-30,2017-12-31,2017-08-25,94.5%,View,6254
11,-0.27,0.0,0.03,"2,570k","-2,341k",1,2017-03-31,2017-12-31,2017-05-24,538.4%,View,6254
12,0.19,0.0,0.03,"16,050k","1,690k",-,2016-12-31,2016-12-31,2017-02-28,117.2%,View,6254
13,0.3,0.0,0.03,"20,897k","2,622k",-,2016-09-30,2016-12-31,2016-11-25,347.4%,View,6254
14,-0.67,0.0,0.0292,"26,890k","-5,817k",4,2016-06-30,2016-06-30,2016-08-30,89.1%,View,6254
15,0.06,0.0,0.04,"28,045k",534k,3,2016-03-31,2016-06-30,2016-05-25,118.9%,View,6254
16,0.09,0.0,0.036,"39,697k",778k,2,2015-12-31,2016-06-30,2016-02-25,162.8%,View,6254
17,-0.12,0.0,0.0355,"40,906k","-1,060k",1,2015-09-30,2016-06-30,2015-11-18,36.7%,View,6254
18,-6.12,0.0,0.0378,"41,782k","-53,208k",4,2015-06-30,2015-06-30,2015-08-28,2869.8%,View,6254
19,-0.32,0.0,0.1,"38,211k","-2,822k",3,2015-03-31,2015-06-30,2015-05-13,1842%,View,6254
20,-0.14,0.0,0.1,"42,701k","-1,239k",2,2014-12-31,2015-06-30,2015-02-18,63.1%,View,6254
21,-0.19,0.0,0.1,"37,878k","-1,674k",1,2014-09-30,2015-06-30,2014-11-18,315.2%,View,6254
22,0.22,0.0,0.11,"43,817k","1,921k",4,2014-06-30,2014-06-30,2014-08-29,118.9%,View,6254
23,0.02,0.0,0.1,"34,443k",162k,3,2014-03-31,2014-06-30,2014-05-29,105.5%,View,6254
24,-0.39,0.0,0.1,"38,136k","-3,354k",2,2013-12-31,2014-06-30,2014-02-24,700.5%,View,6254
25,0.09,0.0,0.11,"43,602k",778k,1,2013-09-30,2014-06-30,2013-11-27,393.6%,View,6254
26,-1.17,0.0,0.11,"47,806k","-10,187k",4,2013-06-30,2013-06-30,2013-08-29,1775.5%,View,6254
